100,169,124
1,108,135
25,178,100
25,154,173
180,107,20
146,12,76
130,198,22
146,93,135
194,18,76
1,124,20
131,139,14
146,195,131
194,171,76
140,178,180
128,129,26
186,2,140
187,76,133
193,21,15
26,164,134
129,107,135
170,188,20
186,26,133
138,141,15
134,140,198
20,190,134
129,146,164
161,129,123
178,132,15
1,2,148
146,131,22
25,26,50
1,194,93
178,146,18
186,18,15
177,21,22
193,180,148
186,166,154
176,76,15
25,154,180
128,93,176
19,142,15
194,164,141
2,124,138
194,26,146
129,169,134
107,146,19
19,156,175
128,169,188
131,190,151
129,107,173
184,130,22
48,180,141
160,50,164
185,146,76
1,170,139
123,93,22
25,98,177
146,187,15
160,195,124
1,166,15
48,108,21
194,12,146
128,148,151
1,21,151
25,154,14
108,139,12
128,131,168
155,124,12
108,169,100
48,178,124
48,107,195
132,21,151
138,107,15
146,142,138
25,140,21
154,134,166
155,132,141
129,107,151
128,25,175
186,171,142
25,50,139
128,154,151
138,93,14
170,26,22
128,108,12
168,131,139
128,171,139
139,148,151
170,18,76
48,140,151
129,131,1
168,20,151
140,146,188
139,12,198
128,154,155
178,130,180
177,178,107
169,177,12
169,170,76
177,26,131
187,141,14
178,141,166
177,154,22
184,129,98
169,170,107
160,130,154
131,164,14
176,134,14
160,138,134
129,130,171
178,186,166
154,155,132
128,14,168
186,166,15
107,124,175
160,18,138
188,124,133
76,93,167
128,154,167
2,142,15
154,132,142
107,146,2
169,107,25
164,107,20
160,139,135
25,178,12
2,130,123
170,134,151
26,123,133
156,14,22
98,12,50
169,26,51
193,123,124
128,177,160
48,154,180
107,2,171
100,20,141
188,21,151
161,148,190
128,169,173
177,155,139
1,171,188
186,195,134
188,123,76
128,171,160
48,130,131
186,133,130
160,25,50
128,186,142
160,22,151
25,141,22
146,166,14
1,123,76
170,123,188
26,18,198
176,170,15
177,148,93
48,25,108
168,185,151
186,21,141
1,142,166
26,19,12
169,19,131
25,196,93
186,18,21
177,93,22
177,164,142
151,164,135
98,131,139
160,129,124
177,146,76
25,154,188
170,93,130
140,93,142
2,188,141
169,130,140
128,188,108
48,129,186
128,76,136
131,141,151
129,146,173
177,195,93
194,141,135
160,177,140
168,164,198
188,124,15
146,138,167
25,18,131
178,26,22
107,131,22
128,170,146
193,146,22
48,19,93
164,173,15
100,186,188
177,187,100
187,12,76
129,146,135
130,12,135
170,131,50
107,195,135
160,195,142
139,148,141
146,100,190
184,138,171
168,154,15
107,12,76
169,178,76
154,100,190
123,198,22
170,50,135
170,18,167
25,178,195
1,2,193
188,100,154
1,148,140
128,140,21
18,133,142
176,134,198
128,130,146
193,107,188
124,141,22
168,1,107
105,76,175
184,18,22
128,170,135
136,130,76
185,2,108
193,134,14
93,134,22
169,177,22
169,138,124
176,132,12
195,190,151
2,132,133
1,138,188
148,19,188
129,187,1
134,94,22
140,139,180
128,154,146
193,130,22
18,50,21
48,133,151
177,26,76
164,139,132
177,169,195
136,26,18
140,100,151
18,139,21
128,48,187
136,19,131
1,140,142
130,21,15
186,142,130
160,164,151
25,154,132
195,140,21
26,123,175
48,107,136
193,154,151
164,173,134
18,180,151
98,134,15
48,76,160
169,166,135
169,130,173
169,154,165
128,108,166
26,123,151
177,133,15
169,21,14
22,166,151
186,132,146
123,12,93
107,188,22
128,76,168
180,134,151
169,170,12
48,2,93
170,26,131
105,19,151
160,129,166
184,171,135
178,170,107
185,108,22
26,20,142
48,193,76
151,130,175
164,108,93
2,18,166
160,186,135
48,18,180
139,187,134
186,26,164
161,164,1
1,130,107
1,177,180
76,166,14
50,141,154
1,146,123
136,154,15
2,187,21
186,2,133
193,19,135
154,164,133
25,20,140
169,164,140
129,98,76
170,142,134
1,100,166
25,50,76
170,2,167
178,129,146
160,51,190
166,134,14
1,146,50
129,138,169
169,187,188
98,76,50
169,186,177
160,50,20
26,142,151
48,132,180
136,148,188
154,195,134
146,100,93
151,21,175
108,173,22
146,187,173
26,188,164
154,76,21
1,139,133
151,196,15
25,170,195
100,173,175
160,124,76
128,193,12
128,132,190
130,107,142
130,15,146
107,123,15
176,107,188
138,139,146
146,123,142
2,133,134
186,187,133
138,100,141
132,76,20
154,123,140
21,134,175
154,180,151
128,178,135
2,107,198
178,154,132
160,164,20
160,169,25
139,12,175
128,168,135
50,100,76
187,133,151
155,164,141
168,164,151
164,131,148
107,132,22
48,154,2
130,133,166
139,141,173
148,139,180
138,141,167
130,107,20
2,123,164
177,18,140
194,142,135
161,169,25
25,130,146
107,25,123
169,130,2
1,138,15
19,148,15
105,20,141
108,142,167
128,1,195
188,107,164
132,141,134
129,154,142
138,76,21
93,12,141
168,185,50
128,19,76
1,2,164
129,146,148
1,146,20
193,129,124
154,188,141
169,50,19
93,133,142
21,141,22
176,146,93
